max_bins,interactions,learning_rate,max_rounds,min_samples_leaf,max_leaves,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
1024.0,16.0,0.0001,25.0,32.0,100.0,-0.0134,-0.013,-0.0139,0.1498,0.1497,0.1499,8465602058138.11,8450211099215.096,8487489778306.141,2.0
4.0,2.0,0.0001,25.0,1.0,100.0,-0.0192,-0.0191,-0.0193,0.1502,0.1502,0.1503,5470043980432.49,5466576546594.099,5472157704013.668,1.27
1024.0,16.0,0.0001,25.0,1.0,100.0,-0.0133,-0.0131,-0.0139,0.1498,0.1497,0.1499,8464767773024.309,8449656830269.777,8484457724506.734,1.96
1024.0,2.0,100.0,25.0,1.0,100000.0,-4619875.4007,-4621290.3238,-4608322.143,319.7806,319.8138,319.5406,9.472214392044257e+17,9.46856638640777e+17,9.461866168596136e+17,1.42
65535.0,16.0,0.1,500.0,1.0,100000.0,0.0903,0.0695,0.0469,0.1419,0.1435,0.1453,101325308281526.22,102064530765827.88,102028165266379.83,2.98
1024.0,16.0,0.0001,500.0,32.0,100.0,0.0285,0.0301,0.0245,0.1466,0.1465,0.147,54028038125708.37,53965466751941.53,54241405459985.67,8.69
4.0,16.0,100.0,500.0,32.0,100000.0,-3591875.8955,-3591634.9258,-3588167.0061,281.9666,281.9432,281.9623,9.586148554342161e+17,9.58553681742897e+17,9.588836488001743e+17,2.75
4.0,16.0,100.0,25.0,1.0,100.0,-3591875.8955,-3591634.9258,-3588167.0061,281.9666,281.9432,281.9623,9.586148554342161e+17,9.58553681742897e+17,9.588836488001743e+17,1.76
65535.0,16.0,0.1,500.0,32.0,100000.0,0.0879,0.0699,0.0475,0.1421,0.1435,0.1453,101098449573874.58,101663813331051.89,101971034537149.08,2.93
1024.0,16.0,0.1,500.0,32.0,100.0,0.0879,0.0699,0.0475,0.1421,0.1435,0.1453,101098730650762.78,101664138059063.98,101971478830139.97,2.98
1024.0,2.0,0.1,500.0,32.0,100.0,0.0787,0.0715,0.0488,0.1428,0.1434,0.1452,102510152218172.83,102722653686324.3,102969555850835.1,1.98
1024.0,16.0,100.0,25.0,1.0,100000.0,-4619875.4007,-4621290.3238,-4608322.143,319.7806,319.8138,319.5406,9.472214392044257e+17,9.46856638640777e+17,9.461866168596136e+17,1.87
1024.0,2.0,0.0001,500.0,32.0,100.0,0.0199,0.0208,0.0168,0.1473,0.1472,0.1476,47377992259332.766,47332755572885.54,47576250530644.836,6.53
1024.0,2.0,0.0001,25.0,1.0,100000.0,-0.0176,-0.0175,-0.018,0.1501,0.1501,0.1502,5390582684563.588,5384665460799.57,5407331606388.765,1.45
1024.0,2.0,100.0,25.0,1.0,100.0,-4619875.6518,-4621290.3053,-4608323.3635,319.7806,319.8138,319.5406,9.472213413668191e+17,9.468561624982664e+17,9.461903713740654e+17,1.41
65535.0,16.0,0.1,500.0,1.0,100.0,0.0871,0.0694,0.0489,0.1421,0.1435,0.1452,101399426166440.77,102190554210147.22,102075173850709.38,2.98
4.0,2.0,0.0001,500.0,1.0,100000.0,-0.0042,-0.004,-0.0044,0.1491,0.1491,0.1492,30050347004414.016,30038308044208.54,30059415407104.86,4.32
4.0,2.0,0.1,500.0,1.0,100.0,0.06,0.0691,0.0459,0.1442,0.1435,0.1454,108798222934646.58,108385126167794.16,108905284399341.38,2.0
4.0,2.0,0.0001,25.0,1.0,100000.0,-0.0192,-0.0191,-0.0193,0.1502,0.1502,0.1503,5470043980432.49,5466576546594.099,5472157704013.668,1.27
