learning_rate,n_estimators,subsample,max_features,ccp_alpha,max_depth,random_state,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.1,200.0,0.25,0.75,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100156112812361.3,100156346940676.58,100153729497133.86,19.8
0.1,200.0,0.25,0.25,0.0,5.0,19260817.0,0.3871,0.0084,0.0228,0.1165,0.1481,0.1471,94371359747086.77,118510872444496.64,112347465180262.94,3.91
100.0,50.0,0.75,0.75,0.0,5.0,19260817.0,-2.314109868393309e+198,-2.2977302557387468e+198,-2.33357639457547e+198,2.2632308970872103e+98,2.255095811573e+98,2.273869816084966e+98,5.833995973077558e+113,5.830720187534796e+113,5.833900168296955e+113,6.57
0.1,50.0,0.75,0.25,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100367850150931.64,100368084774211.28,100365461797201.72,5.23
0.0001,200.0,0.75,0.75,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684462336956.22,99684695362725.4,99682090245125.22,65.31
0.1,50.0,0.25,0.75,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100585456726431.23,100585691858395.38,100583063194534.44,4.66
100.0,200.0,0.75,0.75,0.0,100.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.26
0.1,50.0,0.75,0.75,0.0,100.0,19260817.0,0.9995,-0.0192,-0.0476,0.0035,0.1502,0.1524,3171577131662.481,122821162269389.8,121803690576334.62,59.73
100.0,200.0,0.25,0.25,100.0,5.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54
100.0,50.0,0.25,0.25,100.0,5.0,19260817.0,-1.3537781716174026e+195,-1.353911589589223e+195,-1.3524215708880012e+195,5.474073568722983e+96,5.474073568722984e+96,5.474073568722984e+96,2.4094703089704275e+112,2.409475941429678e+112,2.4094129732061287e+112,0.48
0.0001,200.0,0.75,0.75,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684462336956.22,99684695362725.4,99682090245125.22,26.21
0.1,200.0,0.75,0.75,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99889846706386.23,99890080212268.84,99887469727228.05,62.69
0.1,50.0,0.25,0.25,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100585456726431.23,100585691858395.38,100583063194534.44,1.64
100.0,200.0,0.25,0.25,0.0,100.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.61
100.0,200.0,0.75,0.25,100.0,100.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.28
100.0,50.0,0.75,0.25,0.0,100.0,19260817.0,-1.5655621720404463e+200,-1.6902488472189076e+200,-1.7086277875095114e+200,1.861538556164552e+99,1.9341528903533889e+99,1.945710926615093e+99,2.8600772790346227e+114,3.035352226832588e+114,3.08914014269891e+114,16.73
0.1,200.0,0.75,0.25,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99889846706386.23,99890080212268.84,99887469727228.05,8.89
0.0001,200.0,0.25,0.25,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99678853794927.88,99679086807586.31,99676481836557.77,3.8
100.0,50.0,0.75,0.75,0.0,100.0,19260817.0,-9.169242616503693e+199,-1.0055540237240942e+200,-1.0098242978144725e+200,1.4246349952548017e+99,1.4918260311566695e+99,1.4958136546192225e+99,1.92498471600807e+114,2.044938535869234e+114,2.071793279948756e+114,51.34
100.0,50.0,0.25,0.25,0.0,100.0,19260817.0,-5.220048907152688e+200,-5.294908674821713e+200,-5.0482648488230816e+200,3.3991799951135963e+99,3.423298058941172e+99,3.344457264899175e+99,7.421806001216151e+114,7.458381454571008e+114,7.226688656204835e+114,5.3
