n_estimators,eta,max_depth,l2_leaf_reg,colsample_bylevel,subsample,max_bin,random_seed,boosting_type,max_ctr_complexity,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,silent
200,1.0,2,0.9,0.25,0.25,1024,19260817,Plain,1.0,0.5375,0.4173,0.3901,0.1711,0.1921,0.1966,138383004254516.2,159640119321079.72,163256801191598.12,1.1,True
200,1.0,2,0.9,0.25,0.75,4,19260817,Plain,1.0,0.3714,0.3616,0.3328,0.1995,0.2011,0.2056,177246709748857.5,181795152644549.03,183992409968816.6,0.99,True
25,1.0,16,0.9,0.75,0.25,1024,19260817,Plain,1.0,0.9814,0.1658,0.1631,0.0343,0.2298,0.2303,12043570573977.371,195927649414457.3,201176084601321.25,1255.0,True
200,0.0001,2,0.9,0.25,0.75,4,19260817,Plain,1.0,0.0063,0.0063,0.0063,0.2509,0.2508,0.251,284291637548182.2,284263713480221.4,284583470598573.6,1.94,True
200,1.0,2,0.9,0.25,0.25,4,19260817,Plain,1.0,0.368,0.3563,0.3323,0.2001,0.2019,0.2057,177263612084271.5,182050639308077.2,183801713409401.3,0.73,True
200,1.0,16,0.9,0.75,0.25,4,19260817,Plain,1.0,1.0,0.0941,0.0509,0.0,0.2395,0.2453,5055481.7457,211791895756970.62,217652285391857.7,38.11,True
200,0.0001,2,0.3,0.25,0.25,1024,19260817,Plain,1.0,0.0087,0.0087,0.0086,0.2505,0.2505,0.2507,283942038643510.75,283925602483170.56,284252200791952.25,1.1,True
25,0.0001,2,0.9,0.75,0.75,1024,19260817,Plain,1.0,0.0013,0.0013,0.0013,0.2515,0.2515,0.2516,285006664608266.3,284978292762025.4,285303852470467.6,0.47,True
200,0.0001,2,0.9,0.75,0.75,4,19260817,Plain,1.0,0.0069,0.0069,0.0069,0.2508,0.2508,0.2509,284204492135544.7,284171271127730.25,284484584334606.94,1.26,True
200,1.0,2,0.9,0.25,0.75,1024,19260817,Plain,1.0,0.5506,0.4196,0.388,0.1687,0.1917,0.197,136602188924233.1,160384942921749.8,165144972503496.8,1.38,True
25,1.0,2,0.9,0.25,0.25,4,19260817,Plain,1.0,0.3207,0.3261,0.3107,0.2074,0.2066,0.209,189587686582555.4,191898085757042.4,191243560272162.4,0.22,True
25,1.0,16,0.9,0.75,0.75,1024,19260817,Plain,1.0,0.9863,0.2094,0.1737,0.0295,0.2237,0.2289,10391178956660.148,191812375863206.72,197732524444104.16,1264.41,True
200,0.0001,16,0.3,0.75,0.75,4,19260817,Plain,1.0,0.0213,0.0096,0.0094,0.2489,0.2504,0.2506,282154205560358.5,283864213643949.8,284212117435492.3,45.37,True
25,1.0,16,0.9,0.75,0.75,4,19260817,Plain,1.0,0.9986,0.0727,0.0865,0.0093,0.2423,0.2406,3582189375367.476,211248767223480.6,210598000476761.6,5.53,True
200,0.0001,16,0.9,0.25,0.25,1024,19260817,Plain,1.0,0.0178,0.0093,0.0089,0.2494,0.2505,0.2506,282710286177116.2,283970299127560.56,284340463910133.0,3302.21,True
25,1.0,16,0.3,0.75,0.75,4,19260817,Plain,1.0,0.9994,-0.0265,-0.0233,0.0064,0.2549,0.2547,1745214723477.29,211304515370846.72,213212367377308.7,5.57,True
25,1.0,16,0.3,0.25,0.25,1024,19260817,Plain,1.0,0.9857,0.0748,0.0009,0.0301,0.242,0.2517,8690855948829.355,215578094414969.6,224982632588570.1,427.1,True
200,1.0,16,0.9,0.75,0.75,4,19260817,Plain,1.0,1.0,0.0726,0.0867,0.0,0.2423,0.2406,2585976.0638,211027130215044.88,210382814851218.4,45.24,True
25,0.0001,16,0.9,0.75,0.25,4,19260817,Plain,1.0,0.0022,0.001,0.001,0.2514,0.2515,0.2516,284889457079684.44,285038056085039.6,285363151227649.0,4.84,True
25,0.0001,2,0.3,0.75,0.25,1024,19260817,Plain,1.0,0.0013,0.0013,0.0013,0.2515,0.2515,0.2516,285008036337170.3,284980126855535.94,285305464322881.1,0.41,True
25,0.0001,2,0.9,0.75,0.25,4,19260817,Plain,1.0,0.0009,0.0009,0.0009,0.2515,0.2515,0.2517,285073177847443.6,285044190217072.0,285364518687694.44,0.24,True
25,0.0001,2,0.3,0.25,0.25,4,19260817,Plain,1.0,0.0008,0.0008,0.0008,0.2515,0.2515,0.2517,285084666054758.6,285056431770949.7,285377842435583.8,0.22,True
200,1.0,16,0.3,0.75,0.25,4,19260817,Plain,1.0,1.0,-0.0094,-0.0052,0.0,0.2528,0.2524,268519.8083,211217780193563.9,217648901619362.4,37.81,True
200,1.0,2,0.3,0.25,0.75,1024,19260817,Plain,1.0,0.5533,0.4255,0.3822,0.1682,0.1907,0.1979,136765728129275.8,159238532515615.75,164549119517293.22,1.35,True
25,1.0,2,0.9,0.75,0.75,1024,19260817,Plain,1.0,0.4629,0.4502,0.4084,0.1844,0.1866,0.1936,156511735183268.47,159231109388022.25,166104718566740.3,0.46,True
25,1.0,16,0.9,0.25,0.25,4,19260817,Plain,1.0,0.9981,0.0828,0.0932,0.0109,0.241,0.2398,4350655459488.738,213622653339306.5,216508683446939.2,3.15,True
200,0.0001,2,0.3,0.25,0.75,1024,19260817,Plain,1.0,0.0088,0.0087,0.0087,0.2505,0.2505,0.2507,283934697913504.6,283916828741451.75,284245350776018.0,1.3,True
25,0.0001,16,0.9,0.25,0.25,4,19260817,Plain,1.0,0.0022,0.001,0.001,0.2514,0.2515,0.2516,284890463422741.8,285032304674997.6,285358761223006.56,3.12,True
200,1.0,16,0.3,0.75,0.25,1024,19260817,Plain,1.0,1.0,0.05,0.0358,0.0,0.2453,0.2472,283088412.7651,198009574241025.1,202090484448827.7,10008.64,True
25,0.0001,2,0.3,0.75,0.75,1024,19260817,Plain,1.0,0.0013,0.0013,0.0013,0.2515,0.2515,0.2516,285006494776156.6,284978182243932.8,285303629125022.75,0.49,True
25,1.0,16,0.9,0.75,0.25,4,19260817,Plain,1.0,0.9986,0.0943,0.0508,0.0093,0.2395,0.2453,3500568788083.677,211805315950106.9,217847142435151.3,6.54,True
25,0.0001,16,0.9,0.75,0.75,1024,19260817,Plain,1.0,0.0023,0.0013,0.0012,0.2514,0.2515,0.2516,284880007672925.06,284997795424377.5,285328963551193.3,1186.44,True
200,0.0001,16,0.9,0.25,0.75,1024,19260817,Plain,1.0,0.0179,0.0099,0.0095,0.2494,0.2504,0.2506,282698744166407.5,283870492050242.1,284250364415129.1,3283.88,True
200,1.0,16,0.9,0.25,0.25,1024,19260817,Plain,1.0,1.0,0.1958,0.1416,0.0,0.2257,0.2333,687808390.2105,195385361986969.8,204416556604018.9,3259.65,True
25,0.0001,2,0.9,0.75,0.75,4,19260817,Plain,1.0,0.0009,0.0009,0.0009,0.2515,0.2515,0.2517,285071967490411.6,285042481372368.4,285362983500168.25,0.31,True
200,0.0001,16,0.3,0.25,0.25,4,19260817,Plain,1.0,0.0211,0.0097,0.0095,0.249,0.2504,0.2506,282185939382839.94,283852526925864.06,284201897334304.06,29.62,True
25,1.0,16,0.9,0.25,0.25,1024,19260817,Plain,1.0,0.9847,0.2033,0.1502,0.0312,0.2246,0.2321,11385146945846.486,195421053931679.25,204434792136876.8,426.39,True
25,0.0001,2,0.9,0.25,0.75,4,19260817,Plain,1.0,0.0008,0.0008,0.0008,0.2515,0.2515,0.2517,285084818761069.3,285056338231296.6,285377992655196.56,0.24,True
25,0.0001,2,0.3,0.25,0.75,1024,19260817,Plain,1.0,0.0011,0.0011,0.0011,0.2515,0.2515,0.2516,285040253670702.75,285013611327062.25,285334293877454.0,0.39,True
200,1.0,16,0.3,0.75,0.75,1024,19260817,Plain,1.0,1.0,0.0945,0.0717,0.0,0.2394,0.2426,155771381.5714,197085533232172.1,199393924621342.28,9382.47,True
200,0.0001,16,0.3,0.25,0.75,4,19260817,Plain,1.0,0.0208,0.01,0.0099,0.249,0.2504,0.2505,282230257520199.06,283793404972131.1,284139526749343.6,24.82,True
200,0.0001,2,0.9,0.25,0.25,4,19260817,Plain,1.0,0.0063,0.0063,0.0063,0.2509,0.2508,0.251,284293099554971.44,284266651721467.6,284585699444080.44,0.71,True
25,1.0,2,0.9,0.25,0.75,4,19260817,Plain,1.0,0.3232,0.328,0.3165,0.207,0.2063,0.2081,188798100259895.47,190210409634941.03,190085194725469.6,0.25,True
200,0.0001,2,0.3,0.25,0.25,4,19260817,Plain,1.0,0.0063,0.0063,0.0063,0.2509,0.2508,0.251,284292973061084.56,284266526847036.0,284585573048157.75,0.72,True
200,0.0001,16,0.9,0.75,0.75,4,19260817,Plain,1.0,0.0174,0.0084,0.0082,0.2494,0.2506,0.2507,282744539172147.25,284053729144427.8,284402227637338.44,42.41,True
100,0.01,8,0.7,0.5,0.5,64,19260817,Plain,1.0,0.3926,0.3767,0.3603,0.1961,0.1987,0.2014,207855344200574.8,211470554792699.4,213777155800321.72,1.83,True
50,0.01,8,0.7,0.5,0.5,64,19260817,Plain,1.0,0.2724,0.2615,0.2527,0.2147,0.2162,0.2176,238343611097774.7,240366293185453.2,241813394854094.7,1.0,True
200,0.01,8,0.7,0.5,0.5,64,19260817,Plain,1.0,0.4828,0.458,0.4328,0.181,0.1853,0.1896,173810185715471.3,180303237805386.9,183270719154760.88,3.47,True
100,0.0001,8,0.7,0.5,0.5,64,19260817,Plain,1.0,0.008,0.0077,0.0075,0.2506,0.2507,0.2508,284054043662250.94,284069110728324.25,284425527822804.4,1.83,True
100,1.0,8,0.7,0.5,0.5,64,19260817,Plain,1.0,0.8768,0.2121,0.1412,0.0883,0.2234,0.2333,51257301555088.414,168925188292320.0,175792396650803.03,1.83,True
100,0.01,4,0.7,0.5,0.5,64,19260817,Plain,1.0,0.3361,0.3329,0.3194,0.205,0.2055,0.2077,220310873512746.8,221553949862629.88,223231139811262.9,0.81,True
100,0.01,16,0.7,0.5,0.5,64,19260817,Plain,1.0,0.5545,0.2845,0.2699,0.168,0.2129,0.2151,184485988112443.7,236611747586555.4,239227954431263.2,154.39,True
100,0.01,8,0.5,0.5,0.5,64,19260817,Plain,1.0,0.3933,0.3771,0.3606,0.196,0.1986,0.2013,207625102574082.8,211329481799859.44,213657915903811.7,1.82,True
